sensitivity_group,param_value,attack,n_seeds,seeds,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,all_attack_valid
poison_rate,0.2,relation,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0125,0.006987712429686843,0.0078125,0.0234375,0.886956512928009,0.020479831532700016,0.864130437374115,0.907608687877655,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,2.384185791015625e-08,0.02337588523349969,-0.027173876762390137,0.021739184856414795,True
poison_rate,0.2,uba,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0078125,0.0078125,0.0,0.015625,0.87826087474823,0.015657474828425784,0.8586956262588501,0.8913043737411499,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.008695662021636963,0.012511828190536702,-0.005434811115264893,0.021739184856414795,True
poison_rate,0.2,cba,5,"1,2,3,4,5",0.9765625,0.03746743377588062,0.9140625,1.0,0.05625,0.016937096397405312,0.046875,0.0859375,0.8815217614173889,0.00595351280212375,0.875,0.8913043737411499,1.0,0.0,1.0,1.0,0.544565224647522,0.22904886348292808,0.30434781312942505,0.8097826242446899,0.075,0.014192111034831992,0.0546875,0.09375,0.9015625,0.04508293139454221,0.8359375,0.9453125,0.005434775352478027,0.007685951978011607,-0.005434811115264893,0.01086956262588501,True
trigger_size,4.0,relation,5,"1,2,3,4,5",0.95625,0.03519962601896503,0.90625,1.0,0.0421875,0.015229366163764007,0.0234375,0.0625,0.884782612323761,0.011782342990338838,0.8695651888847351,0.9021739363670349,1.0,0.0,1.0,1.0,0.785869550704956,0.06022563002421076,0.679347813129425,0.8260869383811951,0.06875,0.010186253758129139,0.0546875,0.078125,0.8875,0.03689287172849248,0.828125,0.921875,0.002173924446105957,0.014172184905791337,-0.02173912525177002,0.016304373741149902,True
trigger_size,4.0,uba,5,"1,2,3,4,5",0.9453125,0.061017575593020734,0.8515625,1.0,0.0359375,0.022507594204512395,0.015625,0.0703125,0.867391300201416,0.013088691588872206,0.85326087474823,0.885869562625885,1.0,0.0,1.0,1.0,0.573913037776947,0.24907082414387885,0.30434781312942505,0.8097826242446899,0.0703125,0.012352647110032733,0.0546875,0.0859375,0.875,0.07096055517415996,0.765625,0.9453125,0.01956523656845093,0.01059434526856643,0.005434811115264893,0.027173936367034912,True
trigger_size,4.0,cba,5,"1,2,3,4,5",0.475,0.29426276721983535,0.3125,1.0,0.1,0.020222154852413726,0.0703125,0.125,0.875,0.012152567114599805,0.8586956262588501,0.8913043737411499,1.0,0.0,1.0,1.0,0.6913043558597565,0.1862711804840603,0.3586956560611725,0.7880434989929199,0.071875,0.00855816496101822,0.0625,0.0859375,0.403125,0.29499817928463556,0.2421875,0.9296875,0.011956536769866943,0.01045404312089721,-0.005434811115264893,0.021739184856414795,False
trigger_size,8.0,relation,5,"1,2,3,4,5",0.971875,0.04739297152532219,0.890625,1.0,0.0171875,0.016937096397405312,0.0078125,0.046875,0.879347825050354,0.018188257109973495,0.864130437374115,0.907608687877655,1.0,0.0,1.0,1.0,0.783695650100708,0.029367944872029927,0.75,0.8260869383811951,0.075,0.011848242881330547,0.0625,0.09375,0.896875,0.046679278894655174,0.8203125,0.9375,0.0076087117195129395,0.020551816270247082,-0.02173912525177002,0.027173936367034912,True
trigger_size,8.0,uba,5,"1,2,3,4,5",0.99375,0.010186253758129139,0.9765625,1.0,0.01875,0.011848242881330547,0.0,0.03125,0.879347825050354,0.015080922216097336,0.864130437374115,0.9021739363670349,1.0,0.0,1.0,1.0,0.504347813129425,0.27386127875258304,0.30434781312942505,0.804347813129425,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9125,0.026722861525761046,0.875,0.9453125,0.0076087117195129395,0.014684000287617018,-0.016304373741149902,0.021739184856414795,True
trigger_size,8.0,cba,5,"1,2,3,4,5",0.6328125,0.21881974334626433,0.4140625,1.0,0.078125,0.018321936561810272,0.0546875,0.09375,0.875,0.012152567114599805,0.8586956262588501,0.8913043737411499,1.0,0.0,1.0,1.0,0.6771739184856415,0.17355602100092044,0.3695652186870575,0.782608687877655,0.0765625,0.011587810136086974,0.0625,0.09375,0.55625,0.22333367342946742,0.3359375,0.9296875,0.011956536769866943,0.01045404312089721,-0.005434811115264893,0.021739184856414795,False
trigger_size,10.0,relation,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0125,0.006987712429686843,0.0078125,0.0234375,0.886956512928009,0.020479831532700016,0.864130437374115,0.907608687877655,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,2.384185791015625e-08,0.02337588523349969,-0.027173876762390137,0.021739184856414795,True
trigger_size,10.0,uba,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0078125,0.0078125,0.0,0.015625,0.87826087474823,0.015657474828425784,0.8586956262588501,0.8913043737411499,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.008695662021636963,0.012511828190536702,-0.005434811115264893,0.021739184856414795,True
trigger_size,10.0,cba,5,"1,2,3,4,5",0.6796875,0.19702375332685143,0.46875,1.0,0.071875,0.021678807696111888,0.0546875,0.109375,0.877173900604248,0.010594365143310913,0.8695651888847351,0.8913043737411499,1.0,0.0,1.0,1.0,0.6913043558597565,0.18063602309243973,0.3695652186870575,0.7989130616188049,0.0765625,0.011587810136086974,0.0625,0.09375,0.603125,0.1988277412815551,0.390625,0.9296875,0.009782636165618896,0.012393247395168557,-0.005434811115264893,0.021739184856414795,False
trigger_size,12.0,relation,5,"1,2,3,4,5",0.95625,0.06596822447682672,0.8515625,1.0,0.015625,0.012352647110032733,0.0,0.03125,0.876086974143982,0.0070861015958252815,0.864130437374115,0.8804348111152649,1.0,0.0,1.0,1.0,0.6195652186870575,0.2608978743759156,0.30434781312942505,0.8586956262588501,0.075,0.011848242881330547,0.0625,0.09375,0.88125,0.06308321636933234,0.78125,0.9375,0.01086956262588501,0.010869584977644675,0.0,0.027173936367034912,True
trigger_size,12.0,uba,5,"1,2,3,4,5",0.9953125,0.010481568644530264,0.9765625,1.0,0.0078125,0.005524271728019903,0.0,0.015625,0.875,0.014883772483311198,0.85326087474823,0.8913043737411499,1.0,0.0,1.0,1.0,0.6141304254531861,0.2415575937238345,0.30434781312942505,0.8478260636329651,0.078125,0.017469281074217108,0.0546875,0.1015625,0.9171875,0.022507594204512395,0.890625,0.9453125,0.011956536769866943,0.010454019880666753,0.0,0.027173936367034912,True
trigger_size,12.0,cba,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.06875,0.02304356438086348,0.046875,0.09375,0.883695662021637,0.008242267708093689,0.875,0.8913043737411499,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.0032608747482299806,0.009094157051471374,-0.005434811115264893,0.016304373741149902,False
trigger_size,16.0,relation,5,"1,2,3,4,5",0.9140625,0.17917726470593304,0.59375,1.0,0.009375,0.010186253758129139,0.0,0.0234375,0.884782612323761,0.011137998941133157,0.875,0.9021739363670349,1.0,0.0,1.0,1.0,0.756521737575531,0.10631913439983767,0.5869565010070801,0.864130437374115,0.0734375,0.008907620508587016,0.0625,0.0859375,0.840625,0.18176449069640913,0.515625,0.9296875,0.002173924446105957,0.01468397932997899,-0.02173912525177002,0.016304373741149902,False
trigger_size,16.0,uba,5,"1,2,3,4,5",0.921875,0.11172148160996165,0.7421875,1.0,0.00625,0.0034938562148434213,0.0,0.0078125,0.8847826242446899,0.014067592992597055,0.864130437374115,0.9021739363670349,1.0,0.0,1.0,1.0,0.6315217316150665,0.24799527450378803,0.30434781312942505,0.8260869383811951,0.075,0.018814991529362963,0.0546875,0.1015625,0.846875,0.1171354050874457,0.65625,0.9453125,0.0021739125251770018,0.010594354441551981,-0.01086956262588501,0.016304373741149902,True
trigger_size,16.0,cba,5,"1,2,3,4,5",0.6453125,0.2991585693396982,0.1796875,1.0,0.05625,0.013975424859373685,0.0390625,0.0703125,0.8836956739425659,0.011907021523378957,0.864130437374115,0.8913043737411499,1.0,0.0,1.0,1.0,0.7010869443416595,0.1864534374462682,0.3804347813129425,0.8260869383811951,0.075,0.014192111034831992,0.0546875,0.09375,0.5703125,0.2919513584539812,0.125,0.9296875,0.0032608628273010252,0.013641215392190206,-0.005434811115264893,0.027173936367034912,False
unlearn_lambda,0.0,relation,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0296875,0.012837247441527332,0.015625,0.046875,0.8869565248489379,0.019367985006488224,0.8586956262588501,0.9130434989929199,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,1.1920928955078126e-08,0.018025143911287494,-0.02173912525177002,0.027173936367034912,True
unlearn_lambda,0.0,uba,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.034375,0.014192111034831992,0.015625,0.0546875,0.872826087474823,0.019444085558753543,0.8478260636329651,0.89673912525177,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.014130449295043946,0.021941996358078485,-0.016304314136505127,0.03804349899291992,True
