source_file,dataset,model,attack,seed,sensitivity_group,param_value,poison_rate,trigger_size,unlearn_lambda,target_suppression,clean_acc,backdoored_clean_acc,clean_trigger_asr,poisoned_asr,learned_backdoor_gap,detection_precision,detection_recall,detection_f1,defense_clean_acc,defense_asr,asr_drop,utility_drop,relative_asr_reduction,attack_valid
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_045556.json,ACM,HAN,cba,3,target_suppression,0.0,0.075,12,1.0,0.0,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8804348111152649,0.0859375,0.3046875,0.005434751510620117,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_045927.json,ACM,HAN,cba,3,target_suppression,0.1,0.075,12,1.0,0.1,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8586956262588501,0.078125,0.3125,0.027173936367034912,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_050301.json,ACM,HAN,cba,3,target_suppression,0.2,0.075,12,1.0,0.2,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8913043737411499,0.046875,0.34375,-0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_050633.json,ACM,HAN,cba,3,target_suppression,0.5,0.075,12,1.0,0.5,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8913043737411499,0.046875,0.34375,-0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_051006.json,ACM,HAN,cba,3,target_suppression,1.0,0.075,12,1.0,1.0,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.842391312122345,0.0625,0.328125,0.04347825050354004,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_005908.json,ACM,HAN,cba,4,poison_rate,0.075,0.075,12,1.0,0.2,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.875,0.09375,0.90625,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_022137.json,ACM,HAN,cba,4,trigger_size,4.0,0.075,4,1.0,0.2,0.8913043737411499,0.760869562625885,0.0625,0.3359375,0.2734375,1.0,1.0,1.0,0.8804348111152649,0.109375,0.2265625,0.01086956262588501,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_022456.json,ACM,HAN,cba,4,trigger_size,8.0,0.075,8,1.0,0.2,0.8913043737411499,0.717391312122345,0.0625,0.609375,0.546875,1.0,1.0,1.0,0.875,0.09375,0.515625,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_022816.json,ACM,HAN,cba,4,trigger_size,10.0,0.075,10,1.0,0.2,0.8913043737411499,0.77173912525177,0.0625,0.609375,0.546875,1.0,1.0,1.0,0.8695651888847351,0.0546875,0.5546875,0.021739184856414795,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_023135.json,ACM,HAN,cba,4,trigger_size,12.0,0.075,12,1.0,0.2,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.875,0.09375,0.90625,0.016304373741149902,,True
