robustness_group,robustness_value,attack,adaptive_variant,n_seeds,seeds,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,detection_recall_mean,detection_recall_std,detection_recall_min,detection_recall_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,asr_drop_mean,asr_drop_std,asr_drop_min,asr_drop_max,relative_asr_reduction_mean,relative_asr_reduction_std,relative_asr_reduction_min,relative_asr_reduction_max,all_attack_valid
inaccurate_detection_ratio,1.25,uba,,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.009375,0.00855816496101822,0.0,0.0234375,0.8717391490936279,0.02324919068746778,0.83152174949646,0.8913043737411499,0.889795918367347,0.0,0.889795918367347,0.889795918367347,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.015217387676239013,0.022209578119726753,0.0,0.05434781312942505,0.9765625,0.019136638615493577,0.9453125,0.9921875,0.9906001984126984,0.008552682730773227,0.9765625,1.0,True
inaccurate_detection_ratio,1.25,cba,,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.0625,0.019918044974971814,0.046875,0.09375,0.885869562625885,0.013856045517555409,0.8695651888847351,0.9021739363670349,0.891304347826087,0.0,0.891304347826087,0.891304347826087,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.0010869741439819337,0.01777765774727499,-0.016304373741149902,0.021739184856414795,0.5859375,0.2312948647357416,0.296875,0.9296875,0.8891516284890137,0.07321896072770206,0.76,0.9325842696629213,False
inaccurate_detection_ratio,1.5,relation,,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0046875,0.00427908248050911,0.0,0.0078125,0.87173912525177,0.012511826895987455,0.8586956262588501,0.8913043737411499,0.801470588235294,0.0,0.801470588235294,0.801470588235294,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.015217411518096923,0.010454029176765136,0.0,0.027173936367034912,0.9890625,0.01620034480728728,0.9609375,1.0,0.9952620967741935,0.004326317660837143,0.9919354838709677,1.0,True
inaccurate_detection_ratio,1.5,uba,,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0078125,0.005524271728019903,0.0,0.015625,0.867391300201416,0.009094126773966923,0.85326087474823,0.875,0.801470588235294,0.0,0.801470588235294,0.801470588235294,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.01956523656845093,0.01059434526856643,0.01086956262588501,0.03804349899291992,0.978125,0.02096313728906053,0.9453125,0.9921875,0.9921378968253968,0.005612369597916912,0.9841269841269841,1.0,True
inaccurate_detection_ratio,1.5,cba,,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.0484375,0.011587810136086974,0.03125,0.0625,0.892391312122345,0.010454001288479174,0.8804348111152649,0.907608687877655,0.8039215686274509,0.0,0.8039215686274509,0.8039215686274509,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,-0.005434775352478027,0.01086955517531003,-0.016304314136505127,0.01086956262588501,0.6,0.23679737761823927,0.328125,0.96875,0.9129641284890138,0.04753254771399467,0.84,0.96875,False
partial_detection_failure,0,relation,,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.00625,0.006536406457297465,0.0,0.015625,0.8717391133308411,0.008242259847675282,0.864130437374115,0.885869562625885,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.015217423439025879,0.012393212108371566,-0.005434751510620117,0.027173936367034912,0.9875,0.01620034480728728,0.9609375,1.0,0.9936995967741935,0.006552419354838709,0.984375,1.0,True
partial_detection_failure,0,uba,,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0109375,0.006987712429686843,0.0,0.015625,0.87826087474823,0.015178524570434178,0.85326087474823,0.8913043737411499,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.008695662021636963,0.016573867212499083,0.0,0.03804349899291992,0.975,0.016937096397405312,0.9453125,0.984375,0.9890376984126984,0.006974054645102072,0.984375,1.0,True
partial_detection_failure,0,cba,,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.0703125,0.012352647110032733,0.0546875,0.0859375,0.8815217614173889,0.011137998941133157,0.864130437374115,0.8913043737411499,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.005434775352478027,0.012152540458592306,-0.01086956262588501,0.02173912525177002,0.578125,0.22330634262431956,0.3359375,0.9296875,0.8832195292541767,0.03420797038473675,0.8571428571428571,0.9296875,False
partial_detection_failure,0.1,relation,,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0390625,0.03268203228648733,0.0078125,0.09375,0.8706521630287171,0.00806110549215559,0.8586956262588501,0.8804348111152649,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.016304373741149902,0.012152567114599805,0.0,0.032608747482299805,0.9546875,0.03554472864399164,0.90625,0.9921875,0.9606854838709677,0.03268689026232783,0.90625,0.9921875,True
partial_detection_failure,0.1,uba,,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0546875,0.014615849167085708,0.03125,0.0703125,0.873913049697876,0.022539614134572176,0.842391312122345,0.9021739363670349,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.013043487071990966,0.021602853194081686,-0.016304373741149902,0.03804349899291992,0.93125,0.028384222069663984,0.8828125,0.953125,0.9444901531549259,0.014980605218820291,0.9296875,0.9682539682539683,True
