source_file,dataset,model,attack,seed,robustness_group,robustness_value,drop_detected_ratio,adaptive_variant,poison_rate,trigger_size,clean_acc,backdoored_clean_acc,clean_trigger_asr,poisoned_asr,learned_backdoor_gap,detection_precision,detection_recall,detection_f1,defense_clean_acc,defense_asr,asr_drop,utility_drop,relative_asr_reduction,original_suspicious,kept_suspicious,dropped_suspicious,attack_valid
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_uba_r0.200_seed1_20260515_005656.json,ACM,HAN,uba,1,inaccurate_detection_ratio,0.5,0.0,,0.2,10,0.885869562625885,0.820652186870575,0.09375,1.0,0.90625,1.0,0.4954128440366973,0.6625766871165644,0.842391312122345,0.1328125,0.8671875,0.04347825050354004,0.8671875,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_uba_r0.200_seed2_20260515_011803.json,ACM,HAN,uba,2,inaccurate_detection_ratio,0.5,0.0,,0.2,10,0.8804348111152649,0.7771739363670349,0.0859375,0.984375,0.8984375,1.0,0.4954128440366973,0.6625766871165644,0.85326087474823,0.0546875,0.9296875,0.027173936367034912,0.9444444444444444,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_uba_r0.200_seed3_20260515_013849.json,ACM,HAN,uba,3,inaccurate_detection_ratio,0.5,0.0,,0.2,10,0.885869562625885,0.30434781312942505,0.0703125,1.0,0.9296875,1.0,0.4954128440366973,0.6625766871165644,0.864130437374115,0.1171875,0.8828125,0.02173912525177002,0.8828125,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_uba_r0.200_seed4_20260515_015956.json,ACM,HAN,uba,4,inaccurate_detection_ratio,0.5,0.0,,0.2,10,0.8913043737411499,0.30434781312942505,0.0546875,1.0,0.9453125,1.0,0.4954128440366973,0.6625766871165644,0.7880434989929199,0.0,1.0,0.10326087474822998,1.0,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_uba_r0.200_seed5_20260515_022006.json,ACM,HAN,uba,5,inaccurate_detection_ratio,0.5,0.0,,0.2,10,0.8913043737411499,0.8260869383811951,0.1015625,0.9453125,0.84375,1.0,0.4954128440366973,0.6625766871165644,0.8369565010070801,0.03125,0.9140625,0.054347872734069824,0.9669421487603306,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_cba_r0.075_seed1_20260515_010237.json,ACM,HAN,cba,1,inaccurate_detection_ratio,0.75,0.0,,0.075,12,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,0.7560975609756098,0.8611111111111112,0.85326087474823,0.1171875,0.484375,0.03260868787765503,0.8051948051948052,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_cba_r0.075_seed2_20260515_012336.json,ACM,HAN,cba,2,inaccurate_detection_ratio,0.75,0.0,,0.075,12,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,0.7560975609756098,0.8611111111111112,0.864130437374115,0.1015625,0.59375,0.016304373741149902,0.8539325842696629,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_cba_r0.075_seed3_20260515_014432.json,ACM,HAN,cba,3,inaccurate_detection_ratio,0.75,0.0,,0.075,12,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,0.7560975609756098,0.8611111111111112,0.8478260636329651,0.15625,0.234375,0.03804349899291992,0.6,,,,False
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_cba_r0.075_seed4_20260515_020520.json,ACM,HAN,cba,4,inaccurate_detection_ratio,0.75,0.0,,0.075,12,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,0.7560975609756098,0.8611111111111112,0.8804348111152649,0.1015625,0.8984375,0.01086956262588501,0.8984375,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_cba_r0.075_seed5_20260515_022542.json,ACM,HAN,cba,5,inaccurate_detection_ratio,0.75,0.0,,0.075,12,0.8913043737411499,0.804347813129425,0.09375,0.5546875,0.4609375,1.0,0.7560975609756098,0.8611111111111112,0.885869562625885,0.09375,0.4609375,0.005434811115264893,0.8309859154929577,,,,False
