dataset,model,attack,variant,variant_order,n_seeds,seeds,clean_acc_mean,clean_acc_std,clean_acc_min,clean_acc_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,asr_drop_mean,asr_drop_std,asr_drop_min,asr_drop_max,relative_asr_reduction_mean,relative_asr_reduction_std,relative_asr_reduction_min,relative_asr_reduction_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,runtime_sec_mean,runtime_sec_std,runtime_sec_min,runtime_sec_max,all_attack_valid
ACM,HAN,clean_label,full,0,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,1.0,0.0,1.0,1.0,0.834782600402832,0.012511808772567872,0.8152173757553101,0.8478260636329651,0.0359375,0.014192111034831992,0.015625,0.0546875,0.8265625,0.1129980295735284,0.6640625,0.9765625,0.9571419574204851,0.018110911068033992,0.9375,0.984251968503937,0.052173936367034913,0.009094139241215571,0.04347825050354004,0.06521743535995483,27.977635383605957,0.18572168099378222,27.77026057243347,28.1921489238739,True
ACM,HAN,clean_label,wo_structural_signal,1,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,0.998165137614679,0.004102877022935369,0.9908256880733946,1.0,0.84673912525177,0.019745560766661785,0.83152174949646,0.8804348111152649,0.05,0.026836818808308856,0.0234375,0.09375,0.8125,0.10951442006934521,0.6640625,0.96875,0.941462140689552,0.029518622287848562,0.896551724137931,0.9763779527559056,0.04021741151809692,0.01826928754489925,0.01086956262588501,0.05978262424468994,28.03811559677124,0.19938000419017926,27.7683584690094,28.27481985092163,True
ACM,HAN,clean_label,wo_feature_signal,2,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,1.0,0.0,1.0,1.0,0.835869562625885,0.024122093311183826,0.8097826242446899,0.8586956262588501,0.046875,0.03268203228648733,0.015625,0.0859375,0.815625,0.13276653616405001,0.625,0.96875,0.9419014876604813,0.04518815780913348,0.8888888888888888,0.9827586206896551,0.05108697414398193,0.02566458767892204,0.027173936367034912,0.08152174949645996,27.95748291015625,0.37624107553510644,27.31315326690674,28.240767002105713,True
ACM,HAN,clean_label,wo_embedding_signal,3,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,1.0,0.0,1.0,1.0,0.855434775352478,0.009872773821084339,0.842391312122345,0.864130437374115,0.021875,0.00855816496101822,0.015625,0.03125,0.840625,0.10691999235701899,0.6875,0.9765625,0.9743381807373982,0.010240363116176127,0.9626168224299065,0.984251968503937,0.03152176141738892,0.005953504640412307,0.027173936367034912,0.03804349899291992,28.014589738845824,0.24200795470812336,27.637319087982178,28.253034591674805,True
ACM,HAN,clean_label,wo_hard_removal,4,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,1.0,0.0,1.0,1.0,0.859782600402832,0.023501909206813942,0.8260869383811951,0.885869562625885,0.08125,0.008907620508587016,0.0703125,0.09375,0.78125,0.10481568644530265,0.6171875,0.8984375,0.9046535210934599,0.01608431662810462,0.8777777777777778,0.9196428571428571,0.027173936367034912,0.02430510424118364,0.0,0.06521743535995483,27.966727876663207,0.1342690697161958,27.82911229133606,28.169437408447266,True
ACM,HAN,clean_label,wo_trigger_purification,5,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,1.0,0.0,1.0,1.0,0.8543478131294251,0.018589807053748478,0.83152174949646,0.8695651888847351,0.040625,0.015027643798180739,0.0234375,0.0625,0.821875,0.10385043143567098,0.6640625,0.9453125,0.9526503273458848,0.017216728991748254,0.9285714285714286,0.9719626168224299,0.03260872364044189,0.022735324949539098,0.010869622230529785,0.05978262424468994,28.166416692733765,0.24947074290923776,27.807730674743652,28.462952375411987,True
ACM,HAN,clean_label,wo_trigger_unlearning,6,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,0.0,0.0,0.0,0.0,0.8630434751510621,0.010454029176765136,0.85326087474823,0.8804348111152649,0.14375,0.03605618987254477,0.1015625,0.1875,0.71875,0.09866664797121164,0.6015625,0.875,0.8331791794233906,0.03659944031851393,0.7931034482758621,0.8818897637795275,0.02391306161880493,0.01364120589337905,0.0,0.032608747482299805,19.294555997848512,0.08535499373705696,19.176393508911133,19.41416049003601,True
ACM,HAN,clean_label,wo_target_suppression,7,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,0.0,0.0,0.0,0.0,0.830434787273407,0.013532498730418403,0.820652186870575,0.85326087474823,0.040625,0.030458732327528014,0.015625,0.09375,0.821875,0.10760283054188212,0.671875,0.9609375,0.9527484576029672,0.03471958129652149,0.8928571428571429,0.9813084112149533,0.05652174949645996,0.01364120589337905,0.03260868787765503,0.06521743535995483,28.116455698013304,0.12509565736183434,28.01748824119568,28.315905332565308,True
ACM,HAN,clean_label,only_hard_removal,8,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,0.0,0.0,0.0,0.0,0.840217387676239,0.00987278366445928,0.8260869383811951,0.85326087474823,0.14375,0.015229366163764007,0.1171875,0.15625,0.71875,0.09391261937633834,0.5859375,0.84375,0.8328200580832972,0.010612619470234454,0.822429906542056,0.8503937007874016,0.04673914909362793,0.01364120470602068,0.027173936367034912,0.06521743535995483,19.608783197402953,0.1650052274604514,19.3310124874115,19.767637491226196,True
ACM,HAN,clean_label,only_unlearning,9,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,0.0,0.0,0.0,0.0,0.833695650100708,0.01826927601954606,0.820652186870575,0.864130437374115,0.025,0.0223715954113693,0.0078125,0.0625,0.8375,0.10296507485854123,0.6953125,0.96875,0.9714360394766961,0.025320005253477867,0.9285714285714286,0.9913793103448276,0.05326088666915894,0.018188270467713635,0.02173912525177002,0.06521743535995483,28.18754873275757,0.15557357019899065,27.97915768623352,28.321061849594116,True
